SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
14810,4/14/20,,Afghanistan,4/14/20 23:41,714,23,40
14811,4/14/20,,Albania,4/14/20 23:41,475,24,248
14812,4/14/20,,Algeria,4/14/20 23:41,2070,326,691
14813,4/14/20,,Andorra,4/14/20 23:41,659,31,128
14814,4/14/20,,Angola,4/14/20 23:41,19,2,5
14815,4/14/20,,Antigua and Barbuda,4/14/20 23:41,23,2,3
14816,4/14/20,,Argentina,4/14/20 23:41,2277,102,559
14817,4/14/20,,Armenia,4/14/20 23:41,1067,16,265
14818,4/14/20,,Austria,4/14/20 23:41,14226,384,7633
14819,4/14/20,,Azerbaijan,4/14/20 23:41,1197,13,351
14820,4/14/20,,Bahamas,4/14/20 23:41,49,8,6
14821,4/14/20,,Bahrain,4/14/20 23:41,1528,7,645
14822,4/14/20,,Bangladesh,4/14/20 23:41,1012,46,42
14823,4/14/20,,Barbados,4/14/20 23:41,72,4,13
14824,4/14/20,,Belarus,4/14/20 23:41,3281,33,203
14825,4/14/20,,Belgium,4/14/20 23:41,31119,4157,6868
14826,4/14/20,,Belize,4/14/20 23:41,18,2,0
14827,4/14/20,,Benin,4/14/20 23:41,35,1,18
14828,4/14/20,,Bhutan,4/14/20 23:41,5,0,2
14829,4/14/20,,Bolivia,4/14/20 23:41,354,28,6
14830,4/14/20,,Bosnia and Herzegovina,4/14/20 23:41,1083,40,236
14831,4/14/20,,Botswana,4/14/20 23:41,13,1,0
14832,4/14/20,,Brazil,4/14/20 23:41,25262,1532,3046
14833,4/14/20,,Brunei,4/14/20 23:41,136,1,107
14834,4/14/20,,Bulgaria,4/14/20 23:41,713,35,81
14835,4/14/20,,Burkina Faso,4/14/20 23:41,528,30,177
14836,4/14/20,,Burma,4/14/20 23:41,63,4,2
14837,4/14/20,,Burundi,4/14/20 23:41,5,1,0
14838,4/14/20,,Cabo Verde,4/14/20 23:41,11,1,1
14839,4/14/20,,Cambodia,4/14/20 23:41,122,0,91
14840,4/14/20,,Cameroon,4/14/20 23:41,848,14,130
14841,4/14/20,,Central African Republic,4/14/20 23:41,11,0,4
14842,4/14/20,,Chad,4/14/20 23:41,23,0,2
14843,4/14/20,,Chile,4/14/20 23:41,7917,92,2646
14844,4/14/20,,Colombia,4/14/20 23:41,2979,127,354
14845,4/14/20,,Congo (Brazzaville),4/14/20 23:41,60,5,5
14846,4/14/20,,Congo (Kinshasa),4/14/20 23:41,241,20,20
14847,4/14/20,,Costa Rica,4/14/20 23:41,618,3,66
14848,4/14/20,,Croatia,4/14/20 23:41,1704,31,415
14849,4/14/20,,Cuba,4/14/20 23:41,766,21,132
14850,4/14/20,,Cyprus,4/14/20 23:41,695,12,65
14851,4/14/20,,Czech Republic,4/14/20 23:41,6111,161,642
14852,4/14/20,,Denmark,4/14/20 23:41,6511,299,2515
14853,4/14/20,,Diamond Princess,4/14/20 23:41,712,12,639
14854,4/14/20,,Djibouti,4/14/20 23:41,363,2,53
14855,4/14/20,,Dominica,4/14/20 23:41,16,0,8
14856,4/14/20,,Dominican Republic,4/14/20 23:41,3286,183,162
14857,4/14/20,,Ecuador,4/14/20 23:41,7603,369,696
14858,4/14/20,,Egypt,4/14/20 23:41,2350,178,589
14859,4/14/20,,El Salvador,4/14/20 23:41,149,6,25
14860,4/14/20,,Equatorial Guinea,4/14/20 23:41,41,0,4
14861,4/14/20,,Eritrea,4/14/20 23:41,34,0,0
14862,4/14/20,,Estonia,4/14/20 23:41,1373,31,115
14863,4/14/20,,Eswatini,4/14/20 23:41,15,0,8
14864,4/14/20,,Ethiopia,4/14/20 23:41,82,3,14
14865,4/14/20,,Fiji,4/14/20 23:41,16,0,0
14866,4/14/20,,Finland,4/14/20 23:41,3161,64,300
14867,4/14/20,,France,4/14/20 23:41,130253,15729,28805
14868,4/14/20,,Gabon,4/14/20 23:41,57,1,1
14869,4/14/20,,Gambia,4/14/20 23:41,9,1,2
14870,4/14/20,,Georgia,4/14/20 23:41,300,3,69
14871,4/14/20,,Germany,4/14/20 23:41,131359,3294,68200
14872,4/14/20,,Ghana,4/14/20 23:41,636,8,17
14873,4/14/20,,Greece,4/14/20 23:41,2170,101,269
14874,4/14/20,,Grenada,4/14/20 23:41,14,0,0
14875,4/14/20,,Guatemala,4/14/20 23:41,167,5,19
14876,4/14/20,,Guinea,4/14/20 23:41,363,0,31
14877,4/14/20,,Guinea-Bissau,4/14/20 23:41,38,0,0
14878,4/14/20,,Guyana,4/14/20 23:41,47,6,8
14879,4/14/20,,Haiti,4/14/20 23:41,40,3,0
14880,4/14/20,,Holy See,4/14/20 23:41,8,0,2
14881,4/14/20,,Honduras,4/14/20 23:41,407,26,7
14882,4/14/20,,Hungary,4/14/20 23:41,1512,122,122
14883,4/14/20,,Iceland,4/14/20 23:41,1720,8,989
14884,4/14/20,,India,4/14/20 23:41,11487,393,1359
14885,4/14/20,,Indonesia,4/14/20 23:41,4839,459,426
14886,4/14/20,,Iran,4/14/20 23:41,74877,4683,48129
14887,4/14/20,,Iraq,4/14/20 23:41,1400,78,766
14888,4/14/20,,Ireland,4/14/20 23:41,11479,406,25
14889,4/14/20,,Israel,4/14/20 23:41,12046,123,2195
14890,4/14/20,,Italy,4/14/20 23:41,162488,21067,37130
14891,4/14/20,,Ivory Coast,4/14/20 23:41,638,6,114
14892,4/14/20,,Jamaica,4/14/20 23:41,73,4,19
14893,4/14/20,,Japan,4/14/20 23:41,7645,143,799
14894,4/14/20,,Jordan,4/14/20 23:41,397,7,235
14895,4/14/20,,Kazakhstan,4/14/20 23:41,1232,14,203
14896,4/14/20,,Kenya,4/14/20 23:41,216,9,41
14897,4/14/20,,Kosovo,4/14/20 23:41,387,8,66
14898,4/14/20,,Kuwait,4/14/20 23:41,1355,3,176
14899,4/14/20,,Kyrgyzstan,4/14/20 23:41,430,5,71
14900,4/14/20,,Laos,4/14/20 23:41,19,0,1
14901,4/14/20,,Latvia,4/14/20 23:41,657,5,16
14902,4/14/20,,Lebanon,4/14/20 23:41,641,21,80
14903,4/14/20,,Liberia,4/14/20 23:41,59,6,4
14904,4/14/20,,Libya,4/14/20 23:41,35,1,9
14905,4/14/20,,Liechtenstein,4/14/20 23:41,79,1,55
14906,4/14/20,,Lithuania,4/14/20 23:41,1070,29,101
14907,4/14/20,,Luxembourg,4/14/20 23:41,3307,67,500
14908,4/14/20,,MS Zaandam,4/14/20 23:41,9,2,0
14909,4/14/20,,Madagascar,4/14/20 23:41,108,0,23
14910,4/14/20,,Malawi,4/14/20 23:41,16,2,0
14911,4/14/20,,Malaysia,4/14/20 23:41,4987,82,2478
14912,4/14/20,,Maldives,4/14/20 23:41,20,0,16
14913,4/14/20,,Mali,4/14/20 23:41,144,13,34
14914,4/14/20,,Malta,4/14/20 23:41,393,3,44
14915,4/14/20,,Mauritania,4/14/20 23:41,7,1,2
14916,4/14/20,,Mauritius,4/14/20 23:41,324,9,51
14917,4/14/20,,Mexico,4/14/20 23:41,5014,332,1964
14918,4/14/20,,Moldova,4/14/20 23:41,1934,40,134
14919,4/14/20,,Monaco,4/14/20 23:41,93,1,6
14920,4/14/20,,Mongolia,4/14/20 23:41,30,0,5
14921,4/14/20,,Montenegro,4/14/20 23:41,283,4,46
14922,4/14/20,,Morocco,4/14/20 23:41,1888,126,217
14923,4/14/20,,Mozambique,4/14/20 23:41,28,0,2
14924,4/14/20,,Namibia,4/14/20 23:41,16,0,3
14925,4/14/20,,Nepal,4/14/20 23:41,16,0,1
14926,4/14/20,,Netherlands,4/14/20 23:41,27419,2945,250
14927,4/14/20,,New Zealand,4/14/20 23:41,1366,9,628
14928,4/14/20,,Nicaragua,4/14/20 23:41,9,1,4
14929,4/14/20,,Niger,4/14/20 23:41,570,14,90
14930,4/14/20,,Nigeria,4/14/20 23:41,373,11,99
14931,4/14/20,,North Macedonia,4/14/20 23:41,908,44,86
14932,4/14/20,,Norway,4/14/20 23:41,6623,139,32
14933,4/14/20,,Oman,4/14/20 23:41,813,4,130
14934,4/14/20,,Pakistan,4/14/20 23:41,5837,96,1378
14935,4/14/20,,Panama,4/14/20 23:41,3472,94,61
14936,4/14/20,,Papua New Guinea,4/14/20 23:41,2,0,0
14937,4/14/20,,Paraguay,4/14/20 23:41,159,7,22
14938,4/14/20,,Peru,4/14/20 23:41,10303,230,2869
14939,4/14/20,,Philippines,4/14/20 23:41,5223,335,295
14940,4/14/20,,Poland,4/14/20 23:41,7202,263,618
14941,4/14/20,,Portugal,4/14/20 23:41,17448,567,347
14942,4/14/20,,Qatar,4/14/20 23:41,3428,7,373
14943,4/14/20,,Romania,4/14/20 23:41,6879,351,1051
14944,4/14/20,,Russia,4/14/20 23:41,21102,170,1694
14945,4/14/20,,Rwanda,4/14/20 23:41,134,0,49
14946,4/14/20,,Saint Kitts and Nevis,4/14/20 23:41,14,0,0
14947,4/14/20,,Saint Lucia,4/14/20 23:41,15,0,11
14948,4/14/20,,Saint Vincent and the Grenadines,4/14/20 23:41,12,0,1
14949,4/14/20,,San Marino,4/14/20 23:41,371,36,53
14950,4/14/20,,Sao Tome and Principe,4/14/20 23:41,4,0,0
14951,4/14/20,,Saudi Arabia,4/14/20 23:41,5369,73,889
14952,4/14/20,,Senegal,4/14/20 23:41,299,2,183
14953,4/14/20,,Serbia,4/14/20 23:41,4465,94,0
14954,4/14/20,,Seychelles,4/14/20 23:41,11,0,0
14955,4/14/20,,Sierra Leone,4/14/20 23:41,11,0,0
14956,4/14/20,,Singapore,4/14/20 23:41,3252,10,611
14957,4/14/20,,Slovakia,4/14/20 23:41,835,2,113
14958,4/14/20,,Slovenia,4/14/20 23:41,1220,56,152
14959,4/14/20,,Somalia,4/14/20 23:41,60,2,2
14960,4/14/20,,South Africa,4/14/20 23:41,2415,27,410
14961,4/14/20,,South Korea,4/14/20 23:41,10564,222,7534
14962,4/14/20,,South Sudan,4/14/20 23:41,4,0,0
14963,4/14/20,,Spain,4/14/20 23:41,172541,18056,67504
14964,4/14/20,,Sri Lanka,4/14/20 23:41,233,7,61
14965,4/14/20,,Sudan,4/14/20 23:41,32,5,4
14966,4/14/20,,Suriname,4/14/20 23:41,10,1,6
14967,4/14/20,,Sweden,4/14/20 23:41,11445,1033,381
14968,4/14/20,,Switzerland,4/14/20 23:41,25936,1174,13700
14969,4/14/20,,Syria,4/14/20 23:41,29,2,5
14970,4/14/20,,Taiwan,4/14/20 23:41,393,6,124
14971,4/14/20,,Tanzania,4/14/20 23:41,53,3,7
14972,4/14/20,,Thailand,4/14/20 23:41,2613,41,1405
14973,4/14/20,,Timor-Leste,4/14/20 23:41,6,0,1
14974,4/14/20,,Togo,4/14/20 23:41,77,3,32
14975,4/14/20,,Trinidad and Tobago,4/14/20 23:41,113,8,17
14976,4/14/20,,Tunisia,4/14/20 23:41,747,34,43
14977,4/14/20,,Turkey,4/14/20 23:41,65111,1403,4799
14978,4/14/20,,UK,4/14/20 23:41,93873,12107,0
14979,4/14/20,,Uganda,4/14/20 23:41,55,0,8
14980,4/14/20,,Ukraine,4/14/20 23:41,3372,98,119
14981,4/14/20,,United Arab Emirates,4/14/20 23:41,4933,28,933
14982,4/14/20,,Uruguay,4/14/20 23:41,483,8,248
14983,4/14/20,,Uzbekistan,4/14/20 23:41,1165,4,99
14984,4/14/20,,Venezuela,4/14/20 23:41,189,9,110
14985,4/14/20,,Vietnam,4/14/20 23:41,266,0,169
14986,4/14/20,,West Bank and Gaza,4/14/20 23:41,308,2,62
14987,4/14/20,,Western Sahara,4/14/20 23:41,6,0,0
14988,4/14/20,,Yemen,4/14/20 23:41,1,0,0
14989,4/14/20,,Zambia,4/14/20 23:41,45,2,30
14990,4/14/20,,Zimbabwe,4/14/20 23:41,17,3,0
14991,4/14/20,Alabama,US,4/14/20 23:41,3953,114,0
14992,4/14/20,Alaska,US,4/14/20 23:41,285,9,0
14993,4/14/20,Alberta,Canada,4/14/20 23:41,1870,48,0
14994,4/14/20,Anguilla,UK,4/14/20 23:41,3,0,1
14995,4/14/20,Anhui,Mainland China,4/14/20 23:41,991,6,984
14996,4/14/20,Arizona,US,4/14/20 23:41,3809,131,0
14997,4/14/20,Arkansas,US,4/14/20 23:41,1498,32,0
14998,4/14/20,Aruba,Netherlands,4/14/20 23:41,92,0,32
14999,4/14/20,Australian Capital Territory,Australia,4/14/20 23:41,103,2,72
15000,4/14/20,Beijing,Mainland China,4/14/20 23:41,589,8,491
15001,4/14/20,Bermuda,UK,4/14/20 23:41,57,5,30
15002,4/14/20,"Bonaire, Sint Eustatius and Saba",Netherlands,4/14/20 23:41,3,0,0
15003,4/14/20,British Columbia,Canada,4/14/20 23:41,1490,69,0
15004,4/14/20,British Virgin Islands,UK,4/14/20 23:41,3,0,2
15005,4/14/20,California,US,4/14/20 23:41,25356,767,0
15006,4/14/20,Cayman Islands,UK,4/14/20 23:41,54,1,6
15007,4/14/20,Channel Islands,UK,4/14/20 23:41,440,13,48
15008,4/14/20,Chongqing,Mainland China,4/14/20 23:41,579,6,570
15009,4/14/20,Colorado,US,4/14/20 23:41,7950,327,0
15010,4/14/20,Connecticut,US,4/14/20 23:41,13989,671,0
15011,4/14/20,Curacao,Netherlands,4/14/20 23:41,14,1,10
15012,4/14/20,Delaware,US,4/14/20 23:41,1926,43,0
15013,4/14/20,Diamond Princess cruise ship,US,4/14/20 23:41,49,0,0
15014,4/14/20,District of Columbia,US,4/14/20 23:41,2058,67,0
15015,4/14/20,Falkland Islands (Malvinas),UK,4/14/20 23:41,11,0,1
15016,4/14/20,Faroe Islands,Denmark,4/14/20 23:41,184,0,163
15017,4/14/20,Florida,US,4/14/20 23:41,21628,571,0
15018,4/14/20,French Guiana,France,4/14/20 23:41,86,0,51
15019,4/14/20,French Polynesia,France,4/14/20 23:41,55,0,0
15020,4/14/20,Fujian,Mainland China,4/14/20 23:41,353,1,329
15021,4/14/20,Gansu,Mainland China,4/14/20 23:41,139,2,136
15022,4/14/20,Georgia,US,4/14/20 23:41,14578,525,0
15023,4/14/20,Gibraltar,UK,4/14/20 23:41,129,0,93
15024,4/14/20,Grand Princess,Canada,4/14/20 23:41,13,0,0
15025,4/14/20,Grand Princess,US,4/14/20 23:41,103,0,0
15026,4/14/20,Greenland,Denmark,4/14/20 23:41,11,0,11
15027,4/14/20,Guadeloupe,France,4/14/20 23:41,145,8,67
15028,4/14/20,Guam,US,4/14/20 23:41,133,5,0
15029,4/14/20,Guangdong,Mainland China,4/14/20 23:41,1564,8,1458
15030,4/14/20,Guangxi,Mainland China,4/14/20 23:41,254,2,252
15031,4/14/20,Guizhou,Mainland China,4/14/20 23:41,146,2,144
